DATA_CREDITO;ANO_MES_REPASSE;DATA_REPASSE;NOME_MUNICIPIO;DEDUCAO_FUNDEB_ICMS;VALOR_BRUTO_ICMS;VALOR_CREDITADO_ICMS;DEDUCAO_FUNDEB_IPI;VALOR_BRUTO_IPI;VALOR_CREDITADO_IPI;DEDUCAO_FUNDEB_IPVA;VALOR_BRUTO_IPVA;VALOR_CREDITADO_IPVA
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;AURILANDIA;3107.94;12517.11;9409.17;0.0;0.0;0.0;892.9;1881.9;989.0
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;AVELINOPOLIS;2878.84;11819.86;8941.02;0.0;0.0;0.0;1043.34;3223.66;2180.32
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;BALIZA;3516.3;14303.06;10786.76;0.0;0.0;0.0;204.08;795.82;591.74
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"BARRO ALTO";25359.37;93135.33;67775.96;0.0;0.0;0.0;2558.88;17532.2;14973.32
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"BELA VISTA DE GOIAS";18965.670000000002;75326.0;56360.33;0.0;0.0;0.0;24364.24;60969.78;36605.54
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"BOM JARDIM DE GOIAS";4982.04;19952.94;14970.9;0.0;0.0;0.0;1662.3;14808.86;13146.56
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"BOM JESUS";14271.81;56127.1;41855.29;0.0;0.0;0.0;18443.66;68749.0;50305.340000000004
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;BONFINOPOLIS;3409.8;14294.210000000001;10884.41;0.0;0.0;0.0;5083.7;16782.3;11698.6
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;BONOPOLIS;4803.39;19294.62;14491.23;0.0;0.0;0.0;494.52000000000004;1156.64;662.12
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;BRAZABRANTES;3004.93;13011.23;10006.300000000001;0.0;0.0;0.0;2025.18;3414.9;1389.72
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;BRITANIA;5376.18;22166.89;16790.71;0.0;0.0;0.0;2640.6;4449.1;1808.5
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"BURITI ALEGRE";6916.66;27387.58;20470.920000000002;0.0;0.0;0.0;7213.04;23924.36;16711.32
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"BURITI DE GOIAS";3014.01;12605.65;9591.64;0.0;0.0;0.0;1665.7;4066.46;2400.76
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;BURITINOPOLIS;2912.33;12022.35;9110.02;0.0;0.0;0.0;560.02;9504.2;8944.18
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CABECEIRAS;8551.99;33908.92;25356.93;0.0;0.0;0.0;1173.42;11340.62;10167.2
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CACHOEIRA ALTA";6635.02;26288.37;19653.350000000002;0.0;0.0;0.0;5636.78;16977.28;11340.5
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CACHOEIRA DE GOIAS";2947.36;12195.23;9247.87;0.0;0.0;0.0;1001.86;1244.14;242.28
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CACHOEIRA DOURADA";11548.68;44993.13;33444.45;0.0;0.0;0.0;4543.88;11380.880000000001;6837.0
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CACU;12140.24;47602.9;35462.66;0.0;0.0;0.0;9375.32;37406.08;28030.760000000002
